naive,None1,0.01
naive,seq4,1.0
naive,seq104,1.0
naive,None2,0.1
naive,seq14,1.0
naive,seq115,1.0
naive,seq117,1.0
naive,seq291,1.0
naive,seq118,1.0
naive,seq225,1.0
naive,seq456,1.0
naive,None3,0.2
naive,seq443,2.0
naive,seq873,2.0
naive,seq114,3.0
naive,seq652,3.0
None1,seq457,0.001
None1,seq872,0.001
None1,seq901,0.001
None1,seq904,0.001
seq4,None4,0.01
seq4,seq93,1.0
seq4,seq158,1.0
seq4,seq159,1.0
seq4,None5,0.1
seq4,seq179,1.0
seq4,seq161,1.0
seq4,seq181,1.0
seq4,seq185,1.0
seq4,seq355,1.0
seq4,seq356,1.0
seq4,seq91,1.0
seq4,seq184,1.0
seq4,seq319,1.0
seq4,seq328,1.0
seq4,seq351,1.0
seq4,seq634,1.0
seq4,seq635,1.0
seq4,seq640,1.0
seq4,seq647,1.0
seq4,seq668,1.0
seq4,None6,0.2
seq4,seq373,2.0
seq4,None7,0.2
seq4,seq371,3.0
seq4,seq176,4.0
None4,seq84,0.001
None4,seq160,0.001
None4,seq171,0.001
None4,seq333,0.001
None4,seq166,0.001
None4,seq178,0.001
None4,seq643,0.001
None4,seq662,0.001
None4,seq698,0.001
seq93,seq728,1.0
seq93,seq369,3.0
seq369,seq731,1.0
seq159,seq623,1.0
None5,seq86,0.9
None5,seq656,0.9
seq86,seq676,0.0
seq86,seq671,1.0
seq86,seq672,1.0
seq86,seq677,1.0
seq677,seq678,2.0
seq179,seq701,2.0
seq161,seq629,1.0
seq629,seq628,1.0
seq181,None8,0.01
None8,seq708,0.001
None8,seq709,0.001
seq185,seq723,0.0
seq185,seq724,1.0
seq91,seq362,1.0
seq91,seq360,1.0
seq91,seq711,3.0
seq362,seq361,1.0
seq360,seq713,1.0
seq184,seq364,1.0
seq184,seq720,1.0
seq328,seq374,1.0
seq328,seq650,2.0
seq374,seq742,2.0
seq351,seq696,0.0
None6,seq87,1.8
None6,seq177,1.8
seq87,seq345,1.0
seq87,seq685,1.0
seq177,seq349,1.0
seq177,seq694,1.0
seq373,seq739,1.0
None7,seq653,1.8
None7,seq654,1.8
seq371,seq735,1.0
seq371,seq737,2.0
seq737,seq738,3.0
seq176,seq347,1.0
seq104,None9,0.01
seq104,seq54,1.0
seq104,seq105,1.0
seq104,seq423,1.0
seq104,seq215,1.0
seq104,seq216,1.0
seq104,None10,0.1
seq104,seq807,1.0
seq104,seq821,1.0
seq104,seq831,1.0
seq104,seq840,1.0
seq104,seq851,1.0
seq104,seq422,2.0
seq104,seq207,2.0
seq104,seq411,2.0
seq104,seq841,2.0
seq104,seq421,3.0
None9,seq420,0.001
None9,seq12,0.001
None9,seq51,0.001
None9,seq419,0.001
None9,seq853,0.001
seq54,None11,0.01
seq54,seq434,1.0
seq54,seq858,1.0
seq54,seq862,1.0
seq54,seq863,1.0
None11,seq855,0.001
None11,seq857,0.001
seq434,seq860,0.0
seq105,seq417,1.0
seq105,seq824,1.0
seq417,seq827,0.0
seq417,seq418,1.0
seq215,seq842,0.0
seq215,seq426,2.0
seq216,seq848,0.0
seq216,seq846,1.0
seq216,seq849,1.0
None10,seq408,0.9
None10,seq850,0.9
seq408,seq809,1.0
seq207,seq813,0.0
seq207,seq810,1.0
seq207,seq811,2.0
seq411,seq814,1.0
seq421,seq835,1.0
None2,seq11,0.9
None2,seq871,0.9
seq11,None12,0.01
seq11,seq393,1.0
seq11,seq378,1.0
seq11,seq778,1.0
seq11,seq16,2.0
seq11,seq100,2.0
seq11,seq400,2.0
seq11,seq775,2.0
seq11,seq102,3.0
seq11,seq203,3.0
None12,seq392,0.001
None12,seq781,0.001
seq378,None13,0.01
seq378,seq192,1.0
seq378,seq388,1.0
seq378,seq190,2.0
seq378,seq747,2.0
None13,seq748,0.001
None13,seq749,0.001
seq192,seq193,0.0
seq192,seq754,1.0
seq192,seq755,2.0
seq388,seq97,1.0
seq388,seq197,1.0
seq388,seq769,1.0
seq388,None14,0.2
seq97,seq194,1.0
seq97,seq385,2.0
seq97,seq765,2.0
seq194,seq383,1.0
seq194,seq760,2.0
seq385,seq763,0.0
seq197,None15,0.01
None15,seq390,0.001
None15,seq771,0.001
None15,seq773,0.001
None14,seq767,1.8
None14,seq768,1.8
seq190,seq375,1.0
seq190,seq746,1.0
seq16,seq539,0.0
seq16,seq63,1.0
seq16,seq136,1.0
seq16,seq267,1.0
seq16,seq273,1.0
seq16,seq527,1.0
seq16,seq535,1.0
seq16,seq536,2.0
seq16,seq141,3.0
seq63,None16,0.01
seq63,None17,0.1
seq63,seq262,1.0
seq63,seq500,1.0
seq63,seq502,1.0
seq63,seq513,1.0
seq63,seq523,1.0
seq63,seq525,2.0
None16,seq134,0.001
None16,seq255,0.001
None16,seq15,0.001
None16,seq499,0.001
None16,seq521,0.001
None17,seq131,0.9
None17,seq516,0.9
seq262,seq520,1.0
seq513,seq129,1.0
seq513,seq258,1.0
seq513,seq514,1.0
seq129,seq507,1.0
seq129,seq508,1.0
seq258,seq511,1.0
seq136,seq269,1.0
seq267,seq529,1.0
seq273,seq542,1.0
seq141,seq70,1.0
seq141,seq551,1.0
seq141,seq69,2.0
seq69,seq274,0.0
seq69,seq277,1.0
seq277,None18,0.01
None18,seq140,0.001
None18,seq548,0.001
seq100,seq783,1.0
seq100,seq790,1.0
seq100,seq396,2.0
seq400,seq791,0.0
seq400,seq792,1.0
seq102,seq800,0.0
seq102,seq205,1.0
seq203,seq796,0.0
seq203,seq402,1.0
seq14,seq30,1.0
seq14,seq119,1.0
seq14,seq471,1.0
seq14,seq481,1.0
seq14,seq472,1.0
seq14,seq482,1.0
seq14,seq951,1.0
seq14,seq121,2.0
seq14,seq949,2.0
seq14,seq473,3.0
seq30,seq967,0.0
seq30,seq249,1.0
seq30,seq244,1.0
seq30,seq250,1.0
seq30,seq485,1.0
seq30,seq965,1.0
seq30,seq966,1.0
seq30,seq968,1.0
seq30,seq983,1.0
seq30,seq985,1.0
seq30,seq970,2.0
seq244,seq957,1.0
seq244,seq962,2.0
seq250,seq980,1.0
seq485,seq248,1.0
seq485,seq486,1.0
seq485,seq960,1.0
seq248,seq492,1.0
seq119,seq928,0.0
seq119,seq467,1.0
seq119,seq468,1.0
seq119,seq930,1.0
seq472,seq934,0.0
seq482,seq955,1.0
seq951,seq938,2.0
seq938,seq939,2.0
seq121,seq943,0.0
seq121,seq475,1.0
seq121,seq241,1.0
seq241,seq944,0.0
seq241,seq478,1.0
seq115,seq229,1.0
seq115,seq452,1.0
seq229,seq453,1.0
seq453,seq897,1.0
seq117,seq913,0.0
seq117,seq459,1.0
seq117,seq915,1.0
seq117,None19,0.2
seq459,seq909,0.0
None19,seq910,1.8
None19,seq911,1.8
seq291,None20,0.01
seq291,seq73,1.0
seq291,seq292,1.0
seq291,seq293,1.0
seq291,seq583,1.0
seq291,None21,0.2
seq291,seq35,2.0
seq291,seq902,2.0
None20,seq3,0.001
None20,seq582,0.001
seq73,seq575,3.0
seq575,seq574,3.0
seq293,seq580,1.0
None21,seq38,1.8
None21,seq150,1.8
None21,seq76,1.8
None21,seq151,1.8
seq38,seq310,1.0
seq38,seq155,1.0
seq38,seq307,1.0
seq38,seq309,1.0
seq38,seq603,1.0
seq38,seq610,1.0
seq155,seq604,0.0
seq155,seq306,1.0
seq306,seq607,1.0
seq307,seq609,1.0
seq309,seq612,1.0
seq150,None23,0.2
None23,seq586,1.8
None23,seq587,1.8
seq76,seq153,1.0
seq76,seq595,1.0
seq76,seq299,2.0
seq153,seq596,0.0
seq153,seq302,1.0
seq299,seq593,1.0
seq151,seq589,0.0
seq151,seq588,1.0
seq151,seq590,1.0
seq35,seq284,0.0
seq35,seq72,1.0
seq35,None22,0.1
seq35,seq560,2.0
seq72,seq566,1.0
seq72,seq567,1.0
seq72,seq569,1.0
seq569,seq288,1.0
seq569,seq568,1.0
None22,seq559,0.9
None22,seq561,0.9
seq118,seq463,0.0
seq118,seq235,1.0
seq118,seq916,1.0
seq118,seq918,1.0
seq235,seq466,1.0
seq235,seq920,1.0
seq225,seq883,0.0
seq225,seq882,2.0
seq225,seq881,3.0
None3,seq437,1.8
None3,seq438,1.8
seq443,seq444,0.0
seq443,seq877,1.0
seq443,seq880,1.0
seq114,seq450,1.0
seq114,seq885,1.0
seq114,seq888,1.0
seq450,seq892,1.0
seq652,seq651,3.0
