File,Folder,Status,N_pairs,Min,Max,Mean,Median,Range,Std,Pct_eq_1,Pct_eq_m1,N_NaN,N_unique,UsedCol
43_spearman_pairs.csv,spearman_similarity,Variation found,1035,0.5878787878787878,1.0,0.8960854926072317,0.9757575757575756,0.4121212121212122,0.136996553976709,15.169082125603865,0.0,0,23,SpearmanSimilarity
16_spearman_pairs.csv,spearman_similarity,Variation found,4005,0.9272727272727272,1.0,0.9952059925093634,1.0,0.07272727272727275,0.010431562871071186,75.40574282147315,0.0,0,6,SpearmanSimilarity
01_spearman_pairs.csv,spearman_similarity,Variation found,496,0.9515151515151514,1.0,0.9950635386119258,1.0,0.048484848484848575,0.007852304074076675,66.73387096774194,0.0,0,5,SpearmanSimilarity
02_spearman_pairs.csv,spearman_similarity,Variation found,741,0.9757575757575756,1.0,0.9940457203615097,1.0,0.0242424242424244,0.007173676879981959,55.87044534412956,0.0,0,3,SpearmanSimilarity
51_spearman_pairs.csv,spearman_similarity,Variation found,2211,0.9515151515151514,1.0,0.9961624384962243,1.0,0.048484848484848575,0.006843112447551394,72.72727272727273,0.0,0,5,SpearmanSimilarity
22_spearman_pairs.csv,spearman_similarity,Variation found,1128,0.9515151515151514,1.0,0.9970234257468301,1.0,0.048484848484848575,0.006508950446683516,80.1418439716312,0.0,0,5,SpearmanSimilarity
32_spearman_pairs.csv,spearman_similarity,Variation found,10,0.9878787878787878,1.0,0.9951515151515151,1.0,0.0121212121212122,0.006259367024173644,60.0,0.0,0,2,SpearmanSimilarity
45_spearman_pairs.csv,spearman_similarity,Variation found,2080,0.9757575757575756,1.0,0.9978321678321679,1.0,0.0242424242424244,0.006242800403576385,88.02884615384615,0.0,0,3,SpearmanSimilarity
10_spearman_pairs.csv,spearman_similarity,Variation found,253,0.9636363636363636,1.0,0.9968379446640316,1.0,0.036363636363636376,0.0059529940538301405,75.49407114624506,0.0,0,3,SpearmanSimilarity
17_spearman_pairs.csv,spearman_similarity,Variation found,2346,0.9636363636363636,1.0,0.9968792787207109,1.0,0.036363636363636376,0.005862201605737165,75.87382779198636,0.0,0,4,SpearmanSimilarity
49_spearman_pairs.csv,spearman_similarity,Variation found,465,0.9636363636363636,1.0,0.9976539589442815,1.0,0.036363636363636376,0.005175145421076006,81.50537634408602,0.0,0,3,SpearmanSimilarity
37_spearman_pairs.csv,spearman_similarity,Variation found,2415,0.9636363636363636,1.0,0.9976359872012045,1.0,0.036363636363636376,0.0051698637983081715,81.32505175983437,0.0,0,3,SpearmanSimilarity
06_spearman_pairs.csv,spearman_similarity,Variation found,946,0.9757575757575756,1.0,0.9973989365109873,1.0,0.0242424242424244,0.005102206773166697,78.96405919661733,0.0,0,3,SpearmanSimilarity
20_spearman_pairs.csv,spearman_similarity,Variation found,4851,0.9642857142857144,1.0,0.9992784992784993,1.0,0.03571428571428559,0.005025189076296149,97.97979797979798,0.0,0,2,SpearmanSimilarity
04_spearman_pairs.csv,spearman_similarity,Variation found,2278,0.9636363636363636,1.0,0.9978716045441243,1.0,0.036363636363636376,0.004924039345137366,83.18700614574188,0.0,0,4,SpearmanSimilarity
09_spearman_pairs.csv,spearman_similarity,Variation found,45,0.9878787878787878,1.0,0.9975757575757574,1.0,0.0121212121212122,0.004903271727005428,80.0,0.0,0,2,SpearmanSimilarity
24_spearman_pairs.csv,spearman_similarity,Variation found,1225,0.9757575757575756,1.0,0.9976944959802101,1.0,0.0242424242424244,0.004858902071301078,81.3061224489796,0.0,0,3,SpearmanSimilarity
27_spearman_pairs.csv,spearman_similarity,Variation found,703,0.9878787878787878,1.0,0.9976550713392819,1.0,0.0121212121212122,0.004791382215134446,80.65433854907539,0.0,0,2,SpearmanSimilarity
28_spearman_pairs.csv,spearman_similarity,Variation found,351,0.9636363636363636,1.0,0.9975465554495825,1.0,0.036363636363636376,0.004680361923871712,66.66666666666666,0.0,0,6,SpearmanSimilarity
42_spearman_pairs.csv,spearman_similarity,Variation found,66,0.9878787878787878,1.0,0.9979797979797981,1.0,0.0121212121212122,0.004551924946659486,83.33333333333334,0.0,0,2,SpearmanSimilarity
57_spearman_pairs.csv,spearman_similarity,Variation found,4465,0.9636363636363636,1.0,0.9982300044114154,1.0,0.036363636363636376,0.004549225246361149,85.9350503919373,0.0,0,3,SpearmanSimilarity
26_spearman_pairs.csv,spearman_similarity,Variation found,2415,0.9878787878787878,1.0,0.9980726519856953,1.0,0.0121212121212122,0.004433425602129602,84.09937888198758,0.0,0,2,SpearmanSimilarity
19_spearman_pairs.csv,spearman_similarity,Variation found,2346,0.9636363636363636,1.0,0.998284636647808,1.0,0.036363636363636376,0.004400127390840549,86.18925831202046,0.0,0,3,SpearmanSimilarity
07_spearman_pairs.csv,spearman_similarity,Variation found,2016,0.9757575757575756,1.0,0.9981782106782108,1.0,0.0242424242424244,0.004399546631001444,85.16865079365078,0.0,0,3,SpearmanSimilarity
05_spearman_pairs.csv,spearman_similarity,Variation found,378,0.9757575757575756,1.0,0.9982683982683983,1.0,0.0242424242424244,0.004337951643397841,85.97883597883597,0.0,0,3,SpearmanSimilarity
15_spearman_pairs.csv,spearman_similarity,Variation found,6555,0.9636363636363636,1.0,0.998284777827717,1.0,0.036363636363636376,0.004330335890389761,85.03432494279176,0.0,0,9,SpearmanSimilarity
34_spearman_pairs.csv,spearman_similarity,Variation found,2211,0.9636363636363636,1.0,0.9985526910900046,1.0,0.036363636363636376,0.004129282971884706,88.42152872003618,0.0,0,3,SpearmanSimilarity
29_spearman_pairs.csv,spearman_similarity,Variation found,496,0.9757575757575756,1.0,0.9984848484848485,1.0,0.0242424242424244,0.0040860597725045624,87.70161290322581,0.0,0,3,SpearmanSimilarity
21_spearman_pairs.csv,spearman_similarity,Variation found,1326,0.9636363636363636,1.0,0.9986013986013986,1.0,0.036363636363636376,0.00404210428813656,88.76319758672699,0.0,0,3,SpearmanSimilarity
13_spearman_pairs.csv,spearman_similarity,Variation found,2346,0.9636363636363636,1.0,0.998594642072903,1.0,0.036363636363636376,0.0040241528080748965,88.70417732310315,0.0,0,4,SpearmanSimilarity
47_spearman_pairs.csv,spearman_similarity,Variation found,136,0.9878787878787878,1.0,0.9985739750445634,1.0,0.0121212121212122,0.0039197676773549016,88.23529411764706,0.0,0,2,SpearmanSimilarity
41_spearman_pairs.csv,spearman_similarity,Variation found,2775,0.9636363636363636,1.0,0.9987201747201746,1.0,0.036363636363636376,0.003851421227101201,89.65765765765765,0.0,0,3,SpearmanSimilarity
40_spearman_pairs.csv,spearman_similarity,Variation found,4465,0.9636363636363636,1.0,0.9986913969782787,1.0,0.036363636363636376,0.003796261253109238,87.83874580067189,0.0,0,5,SpearmanSimilarity
35_spearman_pairs.csv,spearman_similarity,Variation found,946,0.9636363636363636,1.0,0.9988852585047089,1.0,0.036363636363636376,0.003635271984450217,91.01479915433404,0.0,0,3,SpearmanSimilarity
14_spearman_pairs.csv,spearman_similarity,Variation found,2080,0.9636363636363636,1.0,0.9988811188811191,1.0,0.036363636363636376,0.0036282594460420666,90.96153846153847,0.0,0,3,SpearmanSimilarity
31_spearman_pairs.csv,spearman_similarity,Variation found,3240,0.9878787878787878,1.0,0.9988477366255143,1.0,0.0121212121212122,0.0035557024712636336,90.49382716049382,0.0,0,2,SpearmanSimilarity
33_spearman_pairs.csv,spearman_similarity,Variation found,1225,0.9636363636363636,1.0,0.9990204081632654,1.0,0.036363636363636376,0.0034122385270673227,92.08163265306123,0.0,0,3,SpearmanSimilarity
11_spearman_pairs.csv,spearman_similarity,Variation found,861,0.9848069807617046,1.0,0.9991407245486064,1.0,0.015193019238295413,0.0027010747918674335,86.1788617886179,0.0,0,5,SpearmanSimilarity
50_spearman_pairs.csv,spearman_similarity,Variation found,780,0.9878787878787878,1.0,0.9993939393939394,1.0,0.0121212121212122,0.002643451999455675,95.0,0.0,0,2,SpearmanSimilarity
08_spearman_pairs.csv,spearman_similarity,Variation found,3160,0.9878787878787878,1.0,0.9994016110471806,1.0,0.0121212121212122,0.002626273554520834,95.0632911392405,0.0,0,2,SpearmanSimilarity
23_spearman_pairs.csv,spearman_similarity,Variation found,3916,0.9636363636363636,1.0,0.9994521311170954,1.0,0.036363636363636376,0.0025627065312631646,95.53115423901941,0.0,0,3,SpearmanSimilarity
44_spearman_pairs.csv,spearman_similarity,Variation found,1540,0.9878787878787878,1.0,0.9995670995670995,1.0,0.0121212121212122,0.002250147319154886,96.42857142857143,0.0,0,2,SpearmanSimilarity
12_spearman_pairs.csv,spearman_similarity,Variation found,2145,0.9878787878787878,1.0,0.9996326905417814,1.0,0.0121212121212122,0.0020783005784277705,96.96969696969697,0.0,0,2,SpearmanSimilarity
03_spearman_pairs.csv,spearman_similarity,All identical,153,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0,1,SpearmanSimilarity
18_spearman_pairs.csv,spearman_similarity,All identical,28,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0,1,SpearmanSimilarity
30_spearman_pairs.csv,spearman_similarity,All identical,21,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0,1,SpearmanSimilarity
52_spearman_pairs.csv,spearman_similarity,All identical,78,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0,1,SpearmanSimilarity
54_spearman_pairs.csv,spearman_similarity,All identical,276,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0,1,SpearmanSimilarity
