,naive,seq477@20,seq5008@2,seq3587@2,seq6293@2,seq2509@2,seq109@7,seq2@31,seq119@22,seq1051@12,seq1259@10,seq4229@9,seq1181@7,seq1478@7,seq2922@5,seq980@4,seq494@3,seq62@2,seq3405@2,seq3545@2,seq4083@2,seq7375@2,seq7542@2,seq3@3686,seq3173@10,seq3213@8,seq9067@3
naive,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.996965091635306,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.996965091635306,0.9878787878787878,0.996965091635306
seq477@20,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.996965091635306,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.996965091635306,0.9878787878787878,0.996965091635306
seq5008@2,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.996965091635306,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.996965091635306,0.9878787878787878,0.996965091635306
seq3587@2,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.996965091635306,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.996965091635306,0.9878787878787878,0.996965091635306
seq6293@2,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.996965091635306,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.996965091635306,0.9878787878787878,0.996965091635306
seq2509@2,0.996965091635306,0.996965091635306,0.996965091635306,0.996965091635306,0.996965091635306,1.0,0.9969650916353059,0.9969650916353059,0.9969650916353059,0.9969650916353059,0.9969650916353059,0.9969650916353059,0.9969650916353059,0.9969650916353059,0.9969650916353059,0.9969650916353059,0.9969650916353059,0.9969650916353059,0.9969650916353059,0.9969650916353059,0.9969650916353059,0.9969650916353059,0.9848069807617046,0.9969650916353059,1.0,0.9848069807617046,1.0
seq109@7,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9969650916353059,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.996965091635306,0.9878787878787878,0.996965091635306
seq2@31,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9969650916353059,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.996965091635306,0.9878787878787878,0.996965091635306
seq119@22,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9969650916353059,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.996965091635306,0.9878787878787878,0.996965091635306
seq1051@12,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9969650916353059,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.996965091635306,0.9878787878787878,0.996965091635306
seq1259@10,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9969650916353059,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.996965091635306,0.9878787878787878,0.996965091635306
seq4229@9,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9969650916353059,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.996965091635306,0.9878787878787878,0.996965091635306
seq1181@7,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9969650916353059,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9878787878787878,0.9999999999999999,0.996965091635306,0.9878787878787878,0.996965091635306
